objectid,stationcode,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,fractionname,record_origin,origin_lastupdatedate,record_publish,total_n_mgl,total_n_mgl_rl,total_n_mgl_mdl,total_n_mgl_method,total_p_mgl,total_p_mgl_rl,total_p_mgl_mdl,total_p_mgl_method
1677,SMC00400,2010-06-29T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
1678,SMC00403,2010-06-15T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,4.0,0.00999,0.00999,partial
1679,SMC00405,2010-05-26T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
1680,SMC00407,2010-06-21T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
1681,SMC00407,2010-06-21T07:00:00Z,Grab,samplewater,1,2,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
1682,SMC00428,2014-05-15T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.01,0.0022,partial
1683,SMC00428,2014-06-19T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.01,0.0022,partial
1684,SMC00428,2014-06-19T07:00:00Z,Grab,samplewater,1,2,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.01,0.0022,partial
1685,SMC00436,2010-06-23T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
1686,SMC00436,2010-06-23T07:00:00Z,Grab,samplewater,1,2,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
1687,SMC00441,2010-05-25T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
1688,SMC00445,2010-06-24T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
1689,SMC00448,2010-06-22T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
1690,SMC00450,2010-06-29T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,4.0,0.00999,0.00999,partial
1691,SMC00450,2010-06-29T07:00:00Z,Grab,samplewater,1,2,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
1692,SMC00464,2014-06-04T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.01,0.0022,partial
1693,SMC00464,2014-06-04T07:00:00Z,Grab,samplewater,1,2,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.01,0.0022,partial
1694,SMC00478,2010-06-22T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
1695,SMC00482,2010-06-24T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
1696,SMC00559,2010-05-19T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,2.0,0.00999,0.00999,partial
1697,SMC00567,2010-06-15T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,3.0,0.00999,0.00999,partial
1698,SMC00598,2010-06-15T07:00:00Z,Grab,samplewater,1,1,Dissolved,NA,NA,NA,NA,NA,NA,NA,0.0,0.00999,0.00999,partial
