"stationcode","yr","d_asci","csci","ipi","xcmg","pct_safn","ev_flowhab","h_aqhab","h_subnat","xcmg","tn","tp","blc","bs","hy","indexscore_cram","ps","comid"
"905BCC","2014","1.1922489480155372","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.241","0.0179","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","0.96479667","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
